search_keyword,product_id,title,price,status_code,status,condition,location,free_shipping,num_faved,num_comment,update_time,update_timestamp,tag,category_id,product_url,description,model,model_source,detail_status
미닉스 음식물처리기,415198671,3L 최신상 미닉스 음식물처리기 더플렌더 MAX + 푸드컨테이너,430000,0,판매중,새상품,,True,7,0,2026-08-27 09:43:18,1787791398,,610600012,https://m.bunjang.co.kr/products/415198671,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,425707277,(26년4월제품) 미닉스 더플렌더 Max 건조분쇄 음식물처리기 가정용 MNFD-200G,260000,0,판매중,중고,서울특별시 금천구 가산동,False,2,0,2026-08-26 15:08:51,1787724531,,610600012,https://m.bunjang.co.kr/products/425707277,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,419807389,미닉스 더플랜더 프로 음식물처리기 MNFD-200G,330000,0,판매중,중고,,True,1,0,2026-08-25 18:50:08,1787651408,,610600012,https://m.bunjang.co.kr/products/419807389,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,424934583,미닉스 더플랜더 맥스 음식물처리기 3L MNFD-200G,340000,0,판매중,중고,,True,3,0,2026-08-25 18:49:54,1787651394,,610600012,https://m.bunjang.co.kr/products/424934583,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,423748544,미닉스 더플랜더 맥스 MNFD-200G 음식물처리기,330000,0,판매중,중고,,True,0,0,2026-08-25 18:49:54,1787651394,,610600012,https://m.bunjang.co.kr/products/423748544,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,422299052,미닉스 더플랜더 맥스 MNFD-200G 음식물처리기,340000,0,판매중,중고,,True,0,0,2026-08-25 18:49:54,1787651394,,610600012,https://m.bunjang.co.kr/products/422299052,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,422298739,미닉스 더플랜더 맥스 MNFD-200G 음식물처리기,330000,0,판매중,중고,,True,1,0,2026-08-25 18:49:54,1787651394,,610600012,https://m.bunjang.co.kr/products/422298739,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,421695042,미닉스 음식물처리기 더플렌더 MAX 미개봉 새제품 / 백화점제품,395000,0,판매중,새상품,부산광역시 남구 우암동,False,1,0,2026-08-25 15:10:03,1787638203,,610600012,https://m.bunjang.co.kr/products/421695042,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,420771888,미닉스 음식물처리기 더플렌더 MAX 미개봉 새제품 / 백화점제품,395000,0,판매중,새상품,부산광역시 남구 우암동,False,4,0,2026-08-25 15:09:49,1787638189,,610600012,https://m.bunjang.co.kr/products/420771888,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,423018200,미닉스 더플렌더 Max 건조분쇄 음식물처리기,290000,0,판매중,중고,,True,2,0,2026-08-25 08:29:40,1787614180,,610600012,https://m.bunjang.co.kr/products/423018200,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,425400820,(26년 4월 제품) 미닉스 더플렌더 Max 건조분쇄 음식물처리기 가정용 MNFD-200G,320000,0,판매중,중고,서울특별시 금천구 가산동,False,2,0,2026-08-24 14:24:37,1787549077,,610600012,https://m.bunjang.co.kr/products/425400820,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,425387234,미닉스 더플렌더 Max 건조분쇄 그레이지 MNFD-200G,280000,0,판매중,중고,,True,4,0,2026-08-24 12:10:13,1787541013,미닉스 더플렌더 MAX 음식물처리기 그레이지,610600012,https://m.bunjang.co.kr/products/425387234,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,423347401,미닉스 더 플렌더 PRO 가정용 음식물 처리기,250000,0,판매중,중고,,True,4,0,2026-08-23 21:20:00,1787487600,,610600012,https://m.bunjang.co.kr/products/423347401,,THE_PLENDER_PRO,text_variant,not_requested
미닉스 음식물처리기,424566390,미닉스 음식물처리기 더플렌더 mini MNFD-300G,280000,0,판매중,새상품,서울특별시 중구 광희동,True,6,0,2026-08-23 19:21:56,1787480516,음식물처리기 미닉스음식물처리기 미닉스,610600012,https://m.bunjang.co.kr/products/424566390,,MNFD-300G,text_code,not_requested
미닉스 음식물처리기,425301955,미닉스 더플렌더 프로 음식물처리기,255400,0,판매중,중고,서울특별시 동대문구 용신동,False,2,0,2026-08-23 17:06:13,1787472373,미닉스음식물처리기 미닉스더플렌더프로 미닉스 음식물처리기 음처기,610600012,https://m.bunjang.co.kr/products/425301955,,THE_PLENDER_PRO,text_variant,not_requested
미닉스 음식물처리기,424216328,미닉스 더플랜더 맥스 음식물처리기 (최상),310000,0,판매중,중고,충청북도 청주시 흥덕구 봉명2.송정동,True,2,0,2026-08-20 12:11:29,1787195489,,610600012,https://m.bunjang.co.kr/products/424216328,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,424801631,미닉스 더플렌더 맥스 MAX 음식물처리기,320000,0,판매중,중고,서울특별시 종로구 이화동,True,1,0,2026-08-19 13:48:43,1787114923,,610600012,https://m.bunjang.co.kr/products/424801631,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,424082798,미닉스 더플렌더 Max 3L 건조분쇄 음식물처리기,330000,0,판매중,중고,,True,0,0,2026-08-19 02:48:52,1787075332,,610600012,https://m.bunjang.co.kr/products/424082798,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,423154291,[음식물처리기] 미닉스 더 플렌더 Max 3L 음식물처리기 저소음 건조분쇄,300000,0,판매중,중고,,False,1,0,2026-08-14 17:06:26,1786694786,음식물 처리기 쓰레기 미닉스 플렌더,610600012,https://m.bunjang.co.kr/products/423154291,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,384329556,[음식물처리기] 미닉스 더 플렌더 PRO 음식물 처리기 MNFD-120G,260000,0,판매중,중고,서울특별시 금천구 가산동,False,34,0,2026-08-14 17:06:26,1786694786,미닉스 음식물처리기 플렌더 프로 그레이지,610600012,https://m.bunjang.co.kr/products/384329556,,MNFD-120G,text_code,not_requested
미닉스 음식물처리기,424202765,"[DDB하남,A급] 미닉스 더플렌더 Max 건조분쇄 음식물처리기 그레이지 MNFD-200G",280000,0,판매중,중고,,True,3,0,2026-08-14 08:38:55,1786664335,미닉스 미닉스맥스 미닉스음식물처리기 미닉스더플렌더 음식물처리기,610600012,https://m.bunjang.co.kr/products/424202765,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,423371236,미닉스 음식물처리기 더 플렌더 PRO MNFD-120G 2L 그레이지,300000,0,판매중,새상품,대구광역시 수성구 범물2동,False,2,0,2026-08-10 18:52:23,1786355543,,610600012,https://m.bunjang.co.kr/products/423371236,,MNFD-120G,text_code,not_requested
미닉스 음식물처리기,423654826,미닉스 더 플랜더 맥스 음식물처리기,330000,0,판매중,중고,경상북도 구미시 산동읍,False,0,0,2026-08-09 18:15:01,1786266901,,610600005,https://m.bunjang.co.kr/products/423654826,,THE_PLENDER_MAX,text_variant,not_requested
미닉스 음식물처리기,389345316,미닉스 더플렌더 음식물처리기 +활성탄필터 2개,220000,0,판매중,중고,,False,14,0,2026-08-08 23:21:11,1786198871,,610600012,https://m.bunjang.co.kr/products/389345316,,THE_PLENDER,text_variant,not_requested
미닉스 음식물처리기,423435378,(새상품급)미닉스 더 플렌더 pro 음식물처리기,280000,0,판매중,중고,경기도 안양시 동안구 신촌동,True,2,0,2026-08-07 19:51:08,1786099868,,610600012,https://m.bunjang.co.kr/products/423435378,,THE_PLENDER_PRO,text_variant,not_requested
미닉스 음식물처리기,423376027,미닉스 더플렌더 Max MNFD-200G 3L 건조분쇄 음식물처리기,360000,0,판매중,중고,서울특별시 송파구 잠실7동,True,0,0,2026-08-07 11:36:41,1786070201,,610600012,https://m.bunjang.co.kr/products/423376027,,MNFD-200G,text_code,not_requested
미닉스 음식물처리기,422507523,미닉스 더 플렌더 Basic MNFD 100G 미개봉 새상품,330000,0,판매중,새상품,서울특별시 은평구 불광제2동,True,0,0,2026-07-31 13:23:16,1785471796,미닉스 음식물처리기 음쓰처리기 미닉스음식물처리기 MNFD 100G,610600012,https://m.bunjang.co.kr/products/422507523,,MNFD100G,text_code,not_requested
미닉스 음식물처리기,422110331,미닉스 음식물 처리기 더플렌더 PRO,360000,0,판매중,새상품,경기도 수원시 권선구 세류2동,True,2,0,2026-07-27 23:01:59,1785160919,미닉스 음식물처리기 미닉스음식물처리기 주방용품 🤍,610600012,https://m.bunjang.co.kr/products/422110331,,THE_PLENDER_PRO,text_variant,not_requested
