search_keyword,product_id,title,price,status_code,status,location,registered_at,product_url,description,model,model_source,detail_status
브레짜 분유,231672145,26년 구입) 브레짜 분유제조기 #분유제조기 #금토일만 16만원,170000,0,판매중,,2026-08-26 23:19:11,https://web.joongna.com/product/231672145,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,231442430,베이비브레짜 분유제조기(상태최상급) 깔대기3개,150000,0,판매중,대산동,2026-08-11 11:06:30,https://web.joongna.com/product/231442430,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,231226455,베이비브레짜 분유제조기+깔때기3개 <미개봉새제품>,250000,0,판매중,,2026-08-10 16:49:21,https://web.joongna.com/product/231226455,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,231107910,베이비브레짜 분유제조기 새상품 미개봉 택포,180000,3,판매완료,동탄7동,2026-08-07 17:59:00,https://web.joongna.com/product/231107910,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,214321101,베이비브레짜 분유제조기 화이트,99000,0,판매중,화순읍,2026-07-21 18:50:57,https://web.joongna.com/product/214321101,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,230490991,베이비브레짜 분유제조기,220000,0,판매중,,2026-07-21 07:19:39,https://web.joongna.com/product/230490991,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,230642442,베이비브레짜 분유제조기 화이트,150000,0,판매중,운정1동,2026-07-15 13:23:24,https://web.joongna.com/product/230642442,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,229635363,브레짜 자동 분유제조기,180000,0,판매중,수송동,2026-07-15 07:54:34,https://web.joongna.com/product/229635363,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,230506706,베이비브레짜 분유제조기 2026년 6월 신상품,150000,3,판매완료,상현1동,2026-07-11 01:23:48,https://web.joongna.com/product/230506706,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,229530683,베이비브레짜 분유제조기 팝니다,69000,3,판매완료,황학동,2026-07-07 11:42:10,https://web.joongna.com/product/229530683,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,230349691,분유제조기 베이비 브레짜 미개봉,200000,3,판매완료,반월동,2026-07-06 11:22:03,https://web.joongna.com/product/230349691,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,230221027,베이비 브레짜 분유제조기 판매합니다!,120000,0,판매중,,2026-07-05 10:17:26,https://web.joongna.com/product/230221027,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,229242299,브레짜 분유제조기,160000,3,판매완료,배곧1동,2026-06-06 11:14:14,https://web.joongna.com/product/229242299,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,229043261,베이비브레짜 신형 자동 분유제조기,150000,0,판매중,,2026-05-27 20:40:33,https://web.joongna.com/product/229043261,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,228834130,브레짜 분유제조기,19000,3,판매완료,오남읍,2026-05-22 22:44:43,https://web.joongna.com/product/228834130,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,228853343,브레짜 분유제조기 새상품,270000,0,판매중,도화1동,2026-05-22 07:45:34,https://web.joongna.com/product/228853343,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,228726928,브레짜 분유제조기 미개봉 새상품,204000,3,판매완료,,2026-05-18 15:05:50,https://web.joongna.com/product/228726928,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,228649194,베이비브레짜 분유제조기,230000,3,판매완료,,2026-05-16 09:27:28,https://web.joongna.com/product/228649194,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,228054453,브레짜 분유제조기 새싱품,219000,0,판매중,,2026-05-06 17:05:14,https://web.joongna.com/product/228054453,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,227892578,베이비브레짜 분유제조기,240000,0,판매중,권선2동,2026-04-26 11:59:08,https://web.joongna.com/product/227892578,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,227934695,(새상품급)브레짜 분유제조기,160000,3,판매완료,효문동,2026-04-26 08:53:46,https://web.joongna.com/product/227934695,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,227728921,베이비브레짜 분유제조기 화이트+깔때기2개,200000,3,판매완료,탄벌동,2026-04-22 15:40:46,https://web.joongna.com/product/227728921,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,227595207,베이비브레짜 분유제조기 미개봉 새제품,200000,3,판매완료,남포동,2026-04-17 00:08:56,https://web.joongna.com/product/227595207,,FORMULA_PRO,text_variant,not_requested
브레짜 분유,227526560,분유제조기 베이비브레짜,68000,0,판매중,,2026-04-15 10:43:35,https://web.joongna.com/product/227526560,,FORMULA_PRO,text_variant,not_requested
