platform,source_file,product_id,search_keyword,model,title,price,reference_median,robust_lower,robust_upper,reference_count,action,reason,product_url
elecmart,cuckoo_rice_cooker_products.csv,371762188,쿠쿠 밥솥,CRP-KHLR1010FG,쿠쿠 트윈프레셔 저당 IH밥솥 새제품,459000,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/371762188
elecmart,cuckoo_rice_cooker_products.csv,415446195,쿠쿠 밥솥,제품군 공통,쿠쿠밥솥 미개봉 팔아요,270000,42000,0,254000,74,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/415446195
elecmart,cuckoo_rice_cooker_products.csv,422131887,쿠쿠 밥솥,제품군 공통,쿠쿠 10인용 IH 올스텐내솥 밥솥 화이트새상품,270000,42000,0,254000,74,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/422131887
elecmart,cuckoo_rice_cooker_products.csv,405166380,쿠쿠 밥솥,CRP-PK1010FW,쿠쿠 IH 압력밥솥 화이트 CRP-PK1010FW  사는겁니다. 미개봉,750000,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/405166380
elecmart,cuckoo_rice_cooker_products.csv,416935180,쿠쿠 밥솥,제품군 공통,쿠쿠 밥솥(10인용) 1번 사용한 거 싸게 팝니다.,320000,42000,0,254000,74,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/416935180
elecmart,cuckoo_rice_cooker_products.csv,418695547,쿠쿠 밥솥,CRP-LHTR0675FG,쿠쿠 밥솥 CRP-LHTR0675FG,4200000,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/418695547
elecmart,cuckoo_rice_cooker_products.csv,417849914,쿠쿠 밥솥,CRP-LHTR1020FG,쿠쿠 트윈프레셔 10인용 IH압력밥솥 (미개봉)CRP-LHTR1020FG,370000,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/417849914
elecmart,cuckoo_rice_cooker_products.csv,416580533,쿠쿠 밥솥,IH압력밥솥,쿠쿠 IH압력밥솥 06 FHTS0610FB,370000,69500,0,243000,32,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/416580533
elecmart,cuckoo_rice_cooker_products.csv,296273800,쿠쿠 밥솥,제품군 공통,쿠쿠밥솥,300000,42000,0,254000,74,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/296273800
elecmart,cuckoo_rice_cooker_products.csv,408914475,쿠쿠 밥솥,전기압력밥솥,쿠쿠 전기 압력 밥솥 010FG,265000,50000,0,205000,29,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/408914475
elecmart,cuckoo_rice_cooker_products.csv,402438232,쿠쿠 밥솥,CRP-NHTR0610FW,쿠쿠 마스터셰프 사일런스 6인용 밥솥,370000,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/402438232
elecmart,cuckoo_rice_cooker_products.csv,398542399,쿠쿠 밥솥,CRPOHFFLR1010FGW,쿠쿠 전기밥솥,450000,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/398542399
elecmart,cuckoo_rice_cooker_products.csv,396634539,쿠쿠 밥솥,제품군 공통,쿠쿠밥솥,394000,42000,0,254000,74,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/396634539
elecmart,cuckoo_rice_cooker_products.csv,391593930,쿠쿠 밥솥,트윈프레셔,쿠쿠 최신상 사일런스 프로 밥솥,350000,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/391593930
elecmart,cuckoo_rice_cooker_products.csv,348560504,쿠쿠 밥솥,트윈프레셔,쿠쿠 트윈프레셔 마스터쉐프 IH 압력밥솥.미사용+내솥하다더,525000,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/348560504
elecmart,cuckoo_rice_cooker_products.csv,369868564,쿠쿠 밥솥,마스터셰프,미개봉 쿠쿠 마스터셰프 사일런스 밥솥,433200,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/369868564
elecmart,cuckoo_rice_cooker_products.csv,371314096,쿠쿠 밥솥,IH압력밥솥_10인용,쿠쿠 10인용 고급형 ih 압력밥솥,280000,70000,0,273750,28,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/371314096
elecmart,cuckoo_rice_cooker_products.csv,348769134,쿠쿠 밥솥,CRP-FHR107FD,쿠쿠 IH압력밥솥 미개봉 새상품 판매합니다,380000,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/348769134
elecmart,cuckoo_rice_cooker_products.csv,352320284,쿠쿠 밥솥,마스터셰프_6인용,쿠쿠 압력 밥솥 6인용,415000,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/352320284
elecmart,cuckoo_rice_cooker_products.csv,360299710,쿠쿠 밥솥,CRP-NHTR0610FW,(새상품) 쿠쿠 마스터 셰프 IH 전기 압력밥솥  6인용,350000,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/360299710
elecmart,cuckoo_rice_cooker_products.csv,358060798,쿠쿠 밥솥,제품군 공통,쿠쿠 10인용 최고급형 ih밥솥,280000,42000,0,254000,74,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/358060798
elecmart,cuckoo_rice_cooker_products.csv,378259893,쿠쿠 밥솥,CRP-OHTR1010FWM,미개봉)쿠쿠 사일런스 오브제 밥솥 OHTR1010FWM,380000,70000,0,347000,681,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/378259893
elecmart,cuckoo_rice_cooker_products.csv,413195990,쿠쿠 밥솥,IH압력밥솥,쿠쿠 IH 압력밥솥 10인분,300000,69500,0,243000,32,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/413195990
elecmart,dyson_vacuum_products.csv,426086827,다이슨 청소기,제품군 공통,다이슨 물걸레청소기,450000,30000,0,447500,96,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/426086827
elecmart,dyson_vacuum_products.csv,424914773,다이슨 청소기,제품군 공통,다이슨 로봇청소기,900000,30000,0,447500,96,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/424914773
elecmart,dyson_vacuum_products.csv,413778669,다이슨 청소기,V12S,다이슨 청소기 v12s 서브마린 컴플리트 미개봉 새제품,800000,50000,0,633000,577,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/413778669
elecmart,dyson_vacuum_products.csv,329240768,다이슨 청소기,제품군 공통,다이슨 G1물걸레 청소기,490000,30000,0,447500,96,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/329240768
elecmart,dyson_vacuum_products.csv,394376881,다이슨 청소기,제품군 공통,다이슨 g5s 무선청소기 새상품 미개봉,540000,30000,0,447500,96,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/394376881
elecmart,dyson_vacuum_products.csv,302853828,다이슨 청소기,360_VIS_NAV,다이슨 로봇청소기,700000,350000,187000,561500,12,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/302853828
elecmart,dyson_vacuum_products.csv,370551548,다이슨 청소기,V15S,다이슨청소기 미사용 v15s 디텍트 서브마린 컴플리트 골드,900000,50000,0,633000,577,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/370551548
elecmart,dyson_vacuum_products.csv,373524772,다이슨 청소기,WASH_G1,다이슨 Wash G1 물청소기,1000000,320000,0,653585,11,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/373524772
elecmart,dyson_vacuum_products.csv,371282088,다이슨 청소기,제품군 공통,다이슨 청소기(거의 새거),640000,30000,0,447500,96,제외,가격 이상치-복수상품,https://m.bunjang.co.kr/products/371282088
elecmart,dyson_vacuum_products.csv,366204359,다이슨 청소기,V16,다이슨V16  DS60 싸이클론 무선청소기,1100000,50000,0,633000,577,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/366204359
elecmart,medicube_booster_pro_products.csv,413906132,메디큐브 부스터 프로,BOOSTER_PRO_MINI,메디큐브 부스터프로 + 부스터프로미니플러스 일괄,300000,73000,0,173500,191,제외,가격 이상치-복수상품,https://m.bunjang.co.kr/products/413906132
elecmart,medicube_booster_pro_products.csv,403208835,메디큐브 부스터 프로,BOOSTER_PRO,거의새것 메디큐브 에이지알 부스터 프로 헬로키티,650000,180000,0,530000,485,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/403208835
elecmart,medicube_booster_pro_products.csv,403124163,메디큐브 부스터 프로,BOOSTER_PRO,미개봉 새상품 메디큐브 에이지알 부스터 프로 마이멜로디,790000,180000,0,530000,485,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/403124163
elecmart,medicube_booster_pro_products.csv,415958347,메디큐브 부스터 프로,BOOSTER_PRO,메디큐브 에이지알 헬로키티 부스터프로 미개봉 새상품 정품,640000,180000,0,530000,485,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/415958347
elecmart,medicube_booster_pro_products.csv,403210981,메디큐브 부스터 프로,BOOSTER_PRO,거의 새것 메디큐브 에이지알 부스터 프로 쿠로미 에디션,800000,180000,0,530000,485,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/403210981
elecmart,medicube_booster_pro_products.csv,415228017,메디큐브 부스터 프로,BOOSTER_PRO,[미개봉 새상품] 메디큐브 부스터프로 마이멜로디 에디션,580000,180000,0,530000,485,유지-검토대상,통계 이상치지만 단일 온전제품 배제 근거 없음,https://m.bunjang.co.kr/products/415228017
