platform,source_file,product_id,search_keyword,model,title,price,rejection_reason,detail_status,product_url,description
elecmart,brezza_formula_products.csv,406558956,브레짜 분유,제품군 공통,브라비 브레비 분유 유아 신생아 출산 육아 브레짜 허밍베베 베이비 라비,65999,검색어 오탐/타제품,200,https://m.bunjang.co.kr/products/406558956,"브라비 분유제조 분유 유아 신생아 출산 육아 브레짜 허밍베베 베이비 라비킷 버들맘마 - 모델명: 02S-GW1707 - 제조년월: 23년 9월 - 버튼 한 번으로 7초 만에 분유 완성! - 스마트폰 앱 연동 가능 - 분유량, 온수량, 농도 조절 가능 - 자동 세척 기능으로 위생적인 관리 새상품급 사진구성 개인입니다 가까운곳은 1.5만원추가시 집 문앞에 놓아드려요 (대신 분실 고장 이상등 책임지지 않습니다) 착불 + 고화질 디테일한 사진 확인부탁드립니다 최우선 직거래 희망하며 판매자 미쳐 발견하지 못한 부분등 어떠한경우라도 중고 거래 특성상 환불 절대 불가능하니 신중한 거래 부탁드립니다. 디지털/가전들은 직접오셔서 꼭 테스팅후 가져가세요 사이즈는 직접오셔서 확인바랍니다 그럼에도 구매자의 요청으로 택배거래 가능하나 파손면책 동의 되어야 배송됩니다 강남구 청담동 직거래가능 소중한 시간 매너거래 부탁드려요"
elecmart,brezza_formula_products.csv,416557820,브레짜 분유,BRZFRP-1A,베이비 브레짜 자동 분유제조기 출수형 분유포트 BRZFRP-1A,220000,검색어 오탐/타제품,not_requested,https://m.bunjang.co.kr/products/416557820,
elecmart,brezza_formula_products.csv,276636169,브레짜 분유,제품군 공통,브레짜 분유포트기 23년5월제조,100000,검색어 오탐/타제품,200,https://m.bunjang.co.kr/products/276636169,브레짜 판매합니다 아기3월말 태어나서 한달정도만 사용했고 사용하면서 주기적으로 세척하며 썼어요 2023년5월제조상품이고 깔때기 총 3개 있습니다 쿨거래시 네고 가능 환불 불가 시티4차 문고리거래
elecmart,brezza_formula_products.csv,379283328,브레짜 분유,FORMULA_PRO,버들맘마 자동분유 제조기,55000,검색어 오탐/타제품,not_requested,https://m.bunjang.co.kr/products/379283328,
elecmart,cuckoo_rice_cooker_products.csv,423295391,쿠쿠 밥솥,제품군 공통,쿡셀 저당밥솥 코랄 2L 미개봉상품,26000,검색어 오탐/타브랜드,200,https://m.bunjang.co.kr/products/423295391,"쿡셀 저당밥솥 코랄 색상 2L 미개봉 새 상품입니다. 건강한 밥을 짓기 위한 저당 기능과 예쁜 코랄 색상으로 주방 어디에나 잘 어울립니다. 구성품 모두 갖춰진 새 상품으로 선물용으로도 좋습니다. 구매 원하시면 바로 안전결제 해주시면 됩니다! 건강한 식습관을 위한 쿡셀 저당밥솥이에요 코랄 색상에 2L 용량으로 예쁘고 실용적이랍니다 박스 구성 그대로 새상품으로 보내드려요 맛있는 밥을 짓고 싶은 분들께 추천드려요 8만원에 구매했는데 아예 사용안해서 새상품이고 구성품 모두 다 있습니다 네고 불가합니다 중간에서 만나면 물건 안사시는분들 잦아서, 직거래는 저희집 밑에서만하는 부분 양해 부탁드립니다"
elecmart,cuckoo_rice_cooker_products.csv,424114522,쿠쿠 밥솥,전기보온밥솥_6인용,미개봉) 쿠첸 6인용 전기밥솥 새제품 팝니다.,244000,검색어 오탐/타브랜드,not_requested,https://m.bunjang.co.kr/products/424114522,
elecmart,cuckoo_rice_cooker_products.csv,206526759,쿠쿠 밥솥,전기보온밥솥_10인용,G1 (고장) 쿠첸 10인용 IH 전기밥솥 (고급형) 밥통,40000,검색어 오탐/타브랜드,not_requested,https://m.bunjang.co.kr/products/206526759,
elecmart,cuckoo_rice_cooker_products.csv,420685707,쿠쿠 밥솥,CRP-R108FS10,쿠쿠 CRP-R108FS10인용 밥솥,500,가격 무효/자리표시,200,https://m.bunjang.co.kr/products/420685707,내솥 코팅 살짝 벗겨져있어요 쿠쿠 1~2인용이나 3~4인용 밥솥이랑 교환하실분 구해요
elecmart,cuckoo_rice_cooker_products.csv,419513167,쿠쿠 밥솥,전기압력밥솥_10인용,쿠첸 듀얼프레셔 10인용 전기압력밥솥 CRS-FWK1040W,155000,검색어 오탐/타브랜드,not_requested,https://m.bunjang.co.kr/products/419513167,
elecmart,cuckoo_rice_cooker_products.csv,417474796,쿠쿠 밥솥,전기압력밥솥_10인용,쿠첸 듀얼프레셔 10인용 전기압력밥솥 새상품 14.9만,149000,검색어 오탐/타브랜드,not_requested,https://m.bunjang.co.kr/products/417474796,
