search_keyword,product_id,title,price,status_code,status,condition,location,free_shipping,num_faved,num_comment,update_time,update_timestamp,tag,category_id,product_url
브레짜 분유,425317295,베이비브레짜 포뮬라 프로 어드밴스드 분유제조기,180000,0,판매중,중고,강원특별자치도 원주시 명륜1동,False,1,0,2026-08-23 18:58:27,1787479107,,500120006,https://m.bunjang.co.kr/products/425317295
브레짜 분유,406558956,브라비 브레비 분유 유아 신생아 출산 육아 브레짜 허밍베베 베이비 라비,65999,0,판매중,중고,서울특별시 강남구 청담동,False,2,0,2026-08-13 07:01:57,1786572117,분유 젖병 우유 브레 탈지,610600006,https://m.bunjang.co.kr/products/406558956
브레짜 분유,416557820,베이비 브레짜 자동 분유제조기 출수형 분유포트 BRZFRP-1A,220000,0,판매중,중고,광주광역시 서구 유덕동,True,0,0,2026-08-12 22:43:36,1786542216,,500117009,https://m.bunjang.co.kr/products/416557820
브레짜 분유,423923400,베이비브레짜 포뮬러 프로 어드밴스 분유제조기(국내정발),120000,0,판매중,중고,경기도 양주시 회천2동,False,0,0,2026-08-11 22:06:06,1786453566,,500120004,https://m.bunjang.co.kr/products/423923400
브레짜 분유,423543242,베이비브레짜 판매합니다,105000,0,판매중,중고,대전광역시 동구 효동,False,0,0,2026-08-08 19:09:13,1786183753,분유 분유쉐이커 베이비브레짜 수유 육아용품,500120004,https://m.bunjang.co.kr/products/423543242
브레짜 분유,423296069,무배/새상품급 베이비브레짜 Formula Pro Advanced 분유제조기 BRZFRP-1A,220000,0,판매중,중고,경기도 평택시 비전1동,True,0,0,2026-08-06 17:37:29,1786005449,,500120004,https://m.bunjang.co.kr/products/423296069
브레짜 분유,422193500,베이비브레짜 Formula Pro Advanced 자동분유제조기(완전미개봉),220000,0,판매중,새상품,경상남도 창원시 의창구 북면,False,0,0,2026-07-28 18:37:28,1785231448,,500120004,https://m.bunjang.co.kr/products/422193500
브레짜 분유,410822830,베이비브레짜 분유제조기 미개봉 새상품,200000,0,판매중,새상품,,True,4,0,2026-07-24 21:29:20,1784896160,,500120004,https://m.bunjang.co.kr/products/410822830
브레짜 분유,421715486,무배/바배 베이비브레짜 자동분유제조기 신형 (BRZFRP-1A),220000,0,판매중,중고,경기도 평택시 비전1동,True,0,0,2026-07-24 16:05:05,1784876705,,610999,https://m.bunjang.co.kr/products/421715486
브레짜 분유,421450966,브레짜 자동 분유 제조기,45000,1,예약중,중고,,True,0,0,2026-07-22 16:50:17,1784706617,,500120003,https://m.bunjang.co.kr/products/421450966
